# Devanagari -> the most commonly attested romanization.
# Derived from Google Dakshina v1.0, CC BY-SA 4.0.
अं	an
अकलेरा	aklera
अकल्पित	akalpit
अकाउंट	account
अकाउंटिंग	accounting
अकाउंटेंट	accountant
अकाट्य	akaatya
अकादमिक	akadamik
अकादमी	akadami
अकादेमी	academy
अकार	akaar
अकारण	akaaran
अकार्बनिक	akarbanic
अकाल	akaal
अकालमृत्यु	akaalmrityu
अकाली	akali
अकीरा	akira
अकुशल	akushal
अकेडमी	academy
अकेल	akel
अकेला	akela
अकेलापन	akelapan
अकेली	akeli
अकेले	akele
अकेलेपन	akelepan
अकैडमी	academy
अकोला	akola
अक्किनेनी	akkineni
अक्कीनेनी	akkineni
अक्टुबर	october
अक्टूबर	october
अक्रियाशील	akriyashil
अक्रॉस	across
अक्ल	akl
अक्ष	aksh
अक्षत	akshat
अक्षम	aksham
अक्षमता	akshamta
अक्षय	akshay
अक्षर	akshar
अक्षरश	aksharash
अक्षरों	aksharon
अक्षांश	akshansh
अक्षुण्ण	akshunn
अक्स	aks
अक्सर	aksar
अक्साई	aksaee
अखंडता	akhandata
अखरोट	akhrot
अख़बार	akhabar
अख़बारों	akhbaron
अखाड़ा	akhada
अखाड़े	akhade
अखिलेश	akhilesh
अख्तर	akhtar
अख्तियार	akhtiyar
अगम	agam
अगरतला	agartala
अगरबत्तियों	agarbattiyon
अगरबत्ती	agarbatti
अगरिया	agariya
अगला	agala
अगली	agali
अगले	agale
अगवा	agava
अगस्टस	augustus
अगस्त्य	agastya
अगस्त्यमुनि	agastyamuni
अगाध	agaadh
अगासी	agaasi
अगुवाई	aguvae
अगेंस्ट	against
अगेन	again
अग्नाशय	agaanshaye
अग्नि	agni
अग्निदेव	agnidev
अग्निमांद्य	agnimandya
अग्निशमन	agnishaman
अग्निसार	agnisar
अग्निहोत्र	agnihotra
अग्निहोत्री	agnihotri
अग्न्याशय	aganyaashay
अग्रगामी	agragami
अग्रज	agraj
अग्रणी	agrani
अग्रदूत	agradoot
अग्रभाग	agrabhag
अग्रवाल	aggarwal
अग्रसर	agrasar
अग्रसेन	agarsain
अग्रहरि	agrahari
अग्राह्य	agrahaye
अग्रिम	agrim
अग्रेंजी	agrenji
अग्रेजों	agrejon
अग्रेषित	agreshit
अग्रोहा	agroha
अघोरियों	aghoriyon
अचंभित	achambhit
अचला	achala
अचानक	achanak
अचार	achaar
अचिन	achin
अचूक	achuk
अचेत	achet
अचेतन	achetan
अच्छा	achcha
अच्छाई	achchaee
अच्छे	achchhe
अछा	achha
अछी	achhi
अछूत	acchut
अछूता	achhuta
अछूते	achhute
अजंता	ajanta
अजगर	ajgar
अजनबियों	ajnabiyon
अजनबी	ajnabi
अजनाला	ajnaala
अजब	ajab
अजमत	ajmat
अजमल	ajamal
अजमेर	ajmer
अजमेरी	ajmeri
अजय	ajay
अजयराज	ajayraj
अजरबेजान	ajarbejan
अजराड़ा	ajrada
अजवा	ajava
अज़रबैजान	azerbaijan
अज़ान	ajaan
अज़ीज़	aziz
अजातशत्रु	ajatshatru
अजायबघर	ajaayabaghar
अजी	aji
अजीत	ajit
अजीब	ajeeb
अजीम	ajim
अजूबा	ajuba
अजूबों	ajubon
अजैविक	ajaivik
अज्ञातवास	agnatvas
अज्ञान	agyaan
अज्ञानता	agnanta
अज्ञेय	agney
अटकलें	atkalen
अटल	atal
अटलांटा	atlanta
अटलांटिक	atlantic
अटूट	atoot
अटेंड	attend
अटेंडेंट्स	attendance
अटैक	attack
अट्ठारहवीं	atharahvin
अठारह	atharah
अठारहवीं	athaarahavin
अड़चनें	adachanen
अड़ी	adi
अडोल्फ	adolf
अड्डा	adda
अणिमा	anima
अणु	anu
अणुओं	anuon
अतंरराष्ट्रीय	antarashtriya
अता	ata
अति	ati
अतिउत्साह	atiutsah
अतिक्रमण	atikraman
अतिथि	atithi
अतिथियों	atithiyon
अतिप्रभावित	atiprabhavit
अतिरंजित	atiranjit
अतिरिक्त	atirikt
अतिवादियों	ativadiyon
अतिविशिष्ट	ativishisht
अतिवृष्टि	ativrushti
अतिशय	atishay
अतिशयोक्ति	atishyokti
अतिशीघ्र	atishighr
अतिश्योक्तिपूर्ण	atishiyoktipurn
अतिसंवेदनशील	atisamvedansheel
अतिसार	atisaar
अतीत	atit
अतुल	atul
अतुलनीय	atulniy
अतृप्त	atript
अत्यंत	atyant
अत्यधिक	atyadhik
अत्यल्प	atyalp
अत्याचार	atyachar
अत्याचारी	atyachari
अत्याचारों	atyacharon
अत्याधिक	atyadhik
अत्याधुनिक	atyadhunik
अत्यावश्यक	atyavashyak
अत्रि	atri
अत्री	atri
अत्रे	atre
अथर्ववेद	atharvved
अथवा	athva
अथाह	athah
अथैया	athaiya
अथॉरिटी	authority
अदन	adan
अदनान	adnan
अदनानी	adanani
अदभुत	adbhut
अदम्य	adamy
अदर	adar
अदरक	adrak
अदला	adla
अदलाबदली	adlabadli
अदा	ada
अदाकाराओं	adakaraon
अदाकारी	adakari
अदानी	adani
अदायगी	adayagi
अदालत	adalat
अदालती	adalati
अदालतें	adalatein
अदालतों	adalton
अदिति	aditi
अदूर	adur
अदूरदर्शिता	adurdarshita
अदृश्य	adrishy
अद्भुत	adbhut
अद्भुद	adbhut
अद्वितीय	advitiya
अधमरा	adhmara
अधर्म	adharm
अधिक	adhik
अधिकता	adhikta
अधिकर	adhikar
अधिकरण	adhikaran
अधिकरणों	adhikaranon
अधिकांश	adhikansh
अधिकांशतः	adhikaanshat
अधिकाधिक	adhikadhik
अधिकार	adhikar
अधिकारक्षेत्र	adhikarkshetra
अधिकारहीन	adhikarhin
अधिकारिक	adhikarik
अधिकारिता	adhikarita
अधिकारियो	adhikariyo
अधिकारियों	adhikariyon
अधिकारी	adhikari
अधिकारीयों	adhikariyon
अधिकारों	adhikaron
अधिकाशं	adhikansh
अधिकृत	adhikrat
अधिगम	adhigam
अधिगृहित	adhigrahit
अधिग्रहण	adhigrahan
अधिग्रहणों	adhigrahanon
अधिग्रहित	adhigrahit
अधिग्रहीत	adhigrahit
अधिनव	adhinav
अधिनस्थ	adhinasth
अधिनायकवादी	adhinayakwadi
अधिनियम	adhiniyam
अधिनियमों	adhiniyamon
अधिनिर्णय	adhinirnay
अधिपति	adhipati
अधिपत्य	adhipatya
अधिभार	adhibhar
अधिया	adhiya
अधिरथ	adhirath
अधिराज	adhiraj
अधिवक्ता	adhivakta
अधिवासी	adhivasi
अधिवेशन	adhiveshan
अधिशेष	adhishesh
अधिष्ठाता	adhishtata
अधिष्ठान	adhishthan
अधिसूचना	adhisoochna
अधिसूचित	adhisoochit
अधीक्षक	adhikshak
अधीग्रहण	adhigrahan
अधीन	adhin
अधीनता	adhiinataa
अधीनस्थ	adhiinastha
अधीर	adhir
अधीरता	adheerta
अधूरा	adhura
अधूरी	adhuri
अधूरे	adhoore
अध्यक्ष	adhyaksh
अध्यक्षता	adhyakshta
अध्यक्षा	adhyaksha
अध्यक्षीय	adhshiya
अध्यक्षों	adhyakshon
अध्यन	adhyan
अध्ययन	adhyayan
अध्ययनकर्ता	adhyayankarta
अध्ययनशील	adhyayansheel
अध्ययनों	adhyayanon
अध्यात्म	adhyaatm
अध्यात्मिक	adhyatmik
अध्यादेश	adhyadesh
अध्यादेशों	adhyadeshon
अध्यापक	adhyapak
अध्यापकों	adhyapakon
अध्यापन	adhyapan
अध्यापिका	adhyapika
अध्याय	adhyay
अध्यायों	adhyayon
अध्येता	adhyeta
अध्येताओं	adhyetaon
अध्य्क्ष	adhyksh
अध्य्यन	adhyyan
अन	un
अनंतकाल	anantkal
अनंतमूल	anantmul
अनकहे	ankahe
अनगिनत	anginat
अनघा	angha
अनजान	anjaan
अनजाना	anjana
अनजानी	anjaani
अनजाने	anjane
अनटोल्ड	untold
अनदेखा	andekha
अनदेखी	andekhi
अनधिकृत	andhikrit
अननोन	unknown
अनन्या	ananya
अनपढ़	anpadh
अनपेक्षित	anpekshit
अनफिट	unfit
अनबन	anban
अनब्रेकेबल	unbreakable
अनमोल	anmol
अनलॉफुल	unlawful
अनवर	anwar
अनशन	anshan
अनसुनी	ansuni
अनसुलझा	ansuljha
अनसुलझे	ansuljhe
अनसूया	ansuya
अनहद	anhad
अनाचार	anachar
अनाज	anaaj
अनाजों	anajon
अनाड़ीपन	anadipan
अनाथ	anath
अनाथालय	anathalay
अनाथालयों	anathalayon
अनादर	anadar
अनादि	anadi
अनाम	anaam
अनामत	anamat
अनामिका	anamika
अनायास	anayas
अनार	anaar
अनारकली	anarkali
अनारक्षित	anarkshit
अनारवाला	anarwala
अनावरण	anavaran
अनावृष्टि	anavrishti
अनास्तासिया	anastasiya
अनिच्छा	anichcha
अनिच्छित	anichchhit
अनिच्छुक	anichchhuk
अनिता	anita
अनित्य	anitya
अनिद्रा	anidra
अनिमा	anima
अनियंत्रित	aniyantrit
अनियमित	aniyamit
अनियमितता	aniyamitata
अनिरुद्ध	aniruddh
अनिर्णीत	anirnit
अनिल	anil
अनिवार्य	anivarya
अनिवार्यता	anivaryata
अनिवार्यताओं	anivaryataon
अनिश्चय	anishchay
अनिश्चित	anishchit
अनिश्चिता	anishchita
अनीता	anita
अनीश	anish
अनु	anu
अनुकरण	anukaran
अनुकरणीय	anukarneeya
अनुकल्प	anukalp
अनुकूलन	anukulan
अनुकृति	anukrit
अनुक्रम	anukram
अनुगमन	anugaman
अनुगामी	anugami
अनुग्रह	anugrah
अनुच्छेद	anuchchhed
अनुच्छेदों	anuchchhedon
अनुज	anuj
अनुज्ञप्ति	anugyapti
अनुठा	anutha
अनुत्तरित	anuttarit
अनुत्पादक	anutpadak
अनुदान	anudan
अनुदानित	anudanit
अनुदानों	anudanon
अनुदारवादी	anudarvadi
अनुदेश	anudesh
अनुदेशक	anudeshak
अनुदेशकों	anudeshakon
अनुदेशों	anudeshon
अनुनय	anunay
अनुप	anup
अनुपम	anupam
अनुपयुक्त	anupayukt
अनुपयोगी	anupayogi
अनुपलब्ध	anuplabdh
अनुपस्थित	anupasthit
अनुपस्थिति	anupasthiti
अनुपात	anupat
अनुपातहीन	anupatheen
अनुपालन	anupalan
अनुपूरक	anupurak
अनुप्राणित	anupranit
अनुबंध	anubandh
अनुबंधित	anubandhit
अनुबंधों	anubandhon
अनुभव	anubhav
अनुभवहीनता	anubhavahinataa
अनुभवी	anubhavi
अनुभवों	anubhavon
अनुभा	anubha
अनुभाग	anubhag
अनुभागों	anubhagon
अनुभूत	anubhut
अनुभूति	anubhuti
अनुभूतियों	anubhutiyon
अनुमंडल	anumandal
अनुमत	anumat
अनुमति	anumati
अनुमतियों	anumatiyon
अनुमान	anuman
अनुमानत	anumanat
अनुमानित	anumanit
अनुमानों	anumanon
अनुमोदन	anumodan
अनुमोदित	anumodit
अनुयायिओं	anuyayiyon
अनुयायियों	anuyayiyon
अनुयायी	anuyayi
अनुराग	anurag
अनुराधा	anuradha
अनुरूप	anurup
अनुरूपता	anuroopta
अनुरोध	anurodh
अनुरोधों	anurodhon
अनुवांशिक	anuwanshik
अनुवांशिकी	anuwanshiki
अनुवादक	anuvaadak
अनुवादकों	anuvaadakon
अनुशंसा	anushansa
अनुशंसाओं	anushansaaon
अनुशासन	anushasan
अनुशासित	anushasit
अनुशीलन	anushilan
अनुश्रवण	anushravan
अनुषंगी	anushangi
अनुष्का	anushka
अनुष्ठान	anushthan
अनुष्ठानों	anushthanon
अनुसंधान	anusandhan
अनुसंधानकर्ताओं	anusandhankartaon
अनुसंधानों	anusandhanon
अनुसमर्थन	anusamarthan
अनुसर	anusar
अनुसार	anusar
अनुसूचित	anusuchit
अनुसूचियों	anusuchiyon
अनुसूची	anusuchi
अनूठा	anutha
अनूठे	anuthe
अनूप	anup
अनूपगढ	anoopgarh
अनूपपुर	anuppur
अनूपशहर	anupshahar
अनेक	anek
अनेकानेक	anekanek
अनेकों	anekon
अनैतिक	anaitik
अनोखा	anokha
अनोखी	anokhi
अनोखे	anokhe
अनोखेपन	anokhepan
अनौपचारिक	anopcharik
अन्न	ann
अन्नत	annat
अन्ना	anna
अन्नामलाई	annamalaee
अन्नू	annu
अन्य	anya
अन्यतम	anyatam
अन्यथा	anyatha
अन्यान्य	anyanya
अन्यायपूर्ण	anyayapurn
अन्यों	anyon
अन्वेषक	anveshak
अन्वेषण	anveshan
अप	up
अपंग	apang
अपंजीकृत	apanjikrit
अपग्रेड	upgrade
अपचन	apchan
अपडेट	update
अपडेटेड	updated
अपतटीय	apatatiy
अपदस्थ	apdasth
अपना	apna
अपनाई	apnai
अपनाकर	apnakar
अपनाता	apnata
अपनाती	apnati
अपनाते	apnate
अपनाने	apnane
अपनाया	apnaya
अपनायी	apnayi
अपनी	apni
अपने	apne
अपनेआप	apneaap
अपनेे	apne
अपभ्रंश	apbhransh
अपमान	apman
अपमानजनक	apmanjanak
अपमानित	apmanit
अपर	apar
अपरंपार	aparampaar
अपरदन	apardan
अपरा	apra
अपराजित	aparajit
अपराजिता	aparajita
अपराध	apraadh
अपराधबोध	apraadhbodh
अपराधमुक्त	aparadhmukt
अपराधिक	aparadhik
अपराधियों	apradhiyon
अपराधी	apradhi
अपराधों	aparadhon
अपरिग्रह	aparigrah
अपरिचित	aparichit
अपरिपक्व	aparipakv
अपरिपक्वता	aparipakvata
अपरिभाषित	aparibhashit
अपरिमित	aparimit
अपरिमेय	aparimey
अपरिवर्तनीय	aparivartaniy
अपरिवर्तित	aparivartit
अपरिष्कृत	aparishkrit
अपरोक्ष	aproksh
अपर्णा	aprna
अपर्याप्त	apryapt
अपलोड	upload
अपवाद	apvad
अपवादों	apvadon
अपवाह	apvah
अपवित्र	aapavitr
अपव्यय	apvyay
अपशिष्ट	apshisht
अपसेट	upset
अपहरण	apharan
अपहरणकर्ता	apaharankarta
अपाचे	apache
अपार	apar
अपार्टमेंट	apartment
अपार्टमेंट्स	apartments
अपितु	apitu
अपील	appeal
अपीलकर्ता	apilkarta
अपुष्ट	apusht
अपूर्ण	apoorna
अपूर्व	apurv
अपेक्षा	apeksha
अपेक्षाओं	apekshaon
अपेक्षाकृत	apekshakrit
अपेक्षित	apekshit
अपेन	apen
अपॉइंटमेंट	appointment
अपोजिट	opposite
अपोलो	apollo
अप्टॉन	opton
अप्पम	appam
अप्पर	upper
अप्पा	appa
अप्रकाशित	aprakashit
अप्रचलित	aprachalit
अप्रतिम	apratim
अप्रत्यक्ष	apratyaksh
अप्रत्याशित	apratyashit
अप्रधान	apradhan
अप्रभावित	aprabhavit
अप्रभावी	aprabhavi
अप्रमाणिक	apramanik
अप्रमाणित	apramanit
अप्रवासियों	apravasiyon
अप्रवासी	apravasi
अप्रशिक्षित	aprashikshit
अप्रसन्न	aprasann
अप्राकृतिक	aprakratik
अप्राप्य	aprapya
अप्रामाणिक	apramanik
अप्रासंगिक	aprasangik
अप्रिय	apriya
अप्रैल	april
अप्लायड	applied
अप्लीकेशन	application
अप्स	aps
अप्सरा	apsara
अप्सराओं	apsraon
अफजाल	afjaal
अफताब	aftab
अफलातून	aflatoon
अफवाह	afwah
अफवाहों	afwahon
अफसर	afsar
अफसरशाही	afsarshahi
अफसरों	afsaron
अफ़गानिस्तान	afghanistan
अफ़गानी	afghani
अफ़गानों	afgaanon
अफीम	afeem
अफेयर	affair
अफेयर्स	affairs
अफ्रिका	africa
अफ्रीकन	african
अफ्रीकी	afriki
अब	ab
अबाउट	about
अबाबील	ababeel
अबु	abu
अबे	abe
अबोहर	abohar
अब्द	abd
अब्दाली	abdali
अब्दुर	abdur
अब्दुल	abdul
अब्दुला	abdula
अब्दुल्ला	abdulla
अब्राहम	abraham
अभद्रता	abhadrata
अभय	abhay
अभयारण्य	abhayarany
अभागे	abhage
अभाव	abhav
अभिकरण	abhikaran
अभिकर्ताओं	abhikartaon
अभिकल्पना	abhikalpana
अभिक्रिया	abhikriya
अभिक्रियाओं	abhikriyaon
अभिजात	abhijaat
अभिजात्य	abhijathya
अभिज्ञान	abhigyan
अभिधा	abhidha
अभिनंदन	abhinandan
अभिनय	abhinay
अभिनयों	abhinayon
अभिनव	abhinav
अभिनीत	abhinit
अभिनेता	abhineta
अभिनेताओं	abhinetaon
अभिनेत्रियों	abhinetriyon
अभिनेत्री	abhinetri
अभिनेय	abhiney
अभिन्न	abhinn
अभिप्राय	abhipray
अभिप्रेत	abhipret
अभिप्रेरित	abhiprerit
अभिभावक	abhibhavak
अभिभावकों	abhibhavakon
अभिभाषक	abhibhashak
अभिभाषण	abhibhashan
अभिभूत	abhibhut
अभिमन्यु	abhimanyu
अभिमान	abhiman
अभिमानी	abhimani
अभियंता	abhiyanta
अभियंत्रण	abhiyantran
अभियांत्रिकी	abhiyantriki
अभियान	abhiyan
अभियानों	abhiyanon
अभियुक्त	abhiyukt
अभियुक्तों	abhiyukton
अभियोग	abhiyog
अभियोजक	abhiyojak
अभियोजन	abhiyojan
अभिरुचि	abhiruchi
अभिलाषा	abhilasha
अभिलेख	abhilekh
अभिलेखागार	abhilekhaagaar
अभिलेखीय	aabhilekhiy
अभिलेखों	abhilekhon
अभिवादन	abhivadan
अभिविन्यास	abhivinyas
अभिवृद्धि	abhivriddhi
अभिवेदन	abhivedan
अभिव्यक्त	abhivyakt
अभिव्यक्ति	abhivyakti
अभिव्यक्तियाँ	abhivyaktiyan
अभिव्यक्तियों	abhivyaktiyon
अभिशप्त	abhishapt
अभिषेक	abhishek
अभिसरण	abhisaran
अभिसिंचित	abhisinchit
अभिहित	abhihit
अभीप्सा	abhipsa
अभीष्ट	abhisht
अभुक्त	abhukt
अभूतपूर्व	abhutpurv
अभेद्य	abhedy
अभ्यंकर	abhyankar
अभ्यस्त	abhyast
अभ्यारण्य	abhyarany
अभ्यावेदन	abhyavedan
अभ्यास	abhyas
अभ्यासों	abhyason
अभ्युदय	abhyudya
अमजद	amjad
अमन	aman
अमनौर	amnaur
अमर	amar
अमरकंटक	amarkantak
अमरकांत	amarkant
अमरचंद	amarchand
अमरदास	amardas
अमरनाथ	amarnath
अमरपुरा	amarpura
अमरापुरकर	amrapurkar
अमरावती	amravati
अमरीक	amreek
अमरीकन	american
अमरीकी	americi
अमरीश	amrish
अमरेंद्र	amrendra
अमरेली	amreli
अमरोहा	amroha
अमल	amal
अमलापुरम	amalapuram
अमांत	amaant
अमाउंट	amount
अमात्य	amatya
अमान	aman
अमानवीय	amanviya
अमानवीयता	amaanviyata
अमानुल्ला	amanullah
अमानुषिक	amanushik
अमान्य	amanya
अमिट	amit
अमिताभ	amitabh
अमिला	amila
अमीन	amin
अमीनो	amino
अमीबा	ameoba
अमीर	amir
अमीरात	amirat
अमीरी	amiri
अमीरों	amiron
अमूमन	amuman
अमूर	amur
अमूल्य	amulya
अमृत	amrit
अमृतपान	amritpan
अमृतलाल	amritlal
अमृतवाणी	amritwani
अमृतसर	amritsar
अमृता	amrita
अमेठी	amethi
अमेरिकन	american
अमेरिका	america
अमेरिकियों	amerikiyon
अमेरिकी	ameriki
अमोनियम	ammonium
अमोनिया	ammonia
अमोल	amol
अमौरा	amaora
अम्मा	amma
अम्मान	amman
अम्माल	ammaal
अम्ल	amal
अम्लीय	amliy
अम्लीयता	amleeytaa
अम्लों	amlon
अयन	ayan
अयनांश	ayanaansh
अयस्क	ayask
अयाज	ayaaj
अयाज़	ayaaz
अयान	ayaan
अयूब	ayub
अयोग	ayog
अयोग्य	ayoghae
अयोग्यता	ayoghaeta
अयोजित	ayojit
अयोध्या	ayodhya
अयोनिज	ayonij
अय्यदुरई	ayyadurai
अय्यप्पा	ayyappa
अय्यर	ayyar
अय्याश	ayyash
अय्याशी	ayyashi
अरनब	arnab
अरब	arab
अरबपति	arabpati
अरबी	arabi
अरबों	arabon
अरमान	aramaan
अरमानी	armani
अरवा	arva
अरविंद	arvind
अरशद	arshad
अरहर	arhar
अराजकता	arajakta
अराजकतावादी	araajaktawadi
अराफात	arafat
अरावली	aravali
अरिंजय	arinjay
अरिजीत	arijeet
अरिष्ट	arisht
अरिहंत	arihant
अरुचि	aruchi
अरुचिकर	aruchikar
अरुणा	aruna
अरुणाचल	arunachal
अरूण	arun
अरूणाचल	arunachal
अरे	arey
अरेबिक	arabic
अरेरा	arera
अरेराज	areraj
अरोड़ा	arora
अर्क	ark
अर्काडिया	arcadia
अर्चना	archana
अर्जित	arjit
अर्जेंटीना	argentina
अर्थकरी	arthkari
अर्थपूर्ण	arthapurna
अर्थव्यवस्था	arthvyavastha
अर्थव्यवस्थाओं	arthavyavasthaon
अर्थशास्त्र	arthashastra
अर्थशास्त्रियों	arthashastriyon
अर्थशास्त्री	arthashastri
अर्थहीन	arthahin
अर्थात	arthaat
अर्थात्	arthat
अर्द्ध	arddh
अर्द्धसरकारी	arddhasarakaaree
अर्द्धसैनिक	arddhsainik
अर्ध	ardh
अर्धचंद्र	ardhachandra
अर्धवार्षिक	ardhvaarshik
अर्न	earn
अर्नेस्ट	earnest
अर्पण	arpan
अर्ली	early
अर्शी	arshi
अर्से	arse
अर्ह	arh
अर्हता	arhata
अलंकरण	alankaran
अलंकरणों	alankaranon
अलंकृत	alankrit
अलकतरा	alakataraa
अलकनंदा	alaknanda
अलका	alka
अलक्षित	alakshit
अलख	alakh
अलग	alag
अलजेब्रा	algebra
अलफ्रेड	alfred
अलबत्ता	albatta
अलबर्ट	albert
अलबामा	albama
अलबेला	albela
अलबेली	albeli
अलमारियों	almariyon
अलमारी	almari
अलर्ट्स	alerts
अलवर	alvar
अलविदा	alvida
अलसी	alsee
अलस्टेयर	alstair
अलाइड	alaind
अलाउद्दीन	alauddin
अलादीन	aladin
अलार्म	alarm
अलावा	alava
अलीगंज	aliganj
अलीगढ़	aligarh
अलीपुर	alipur
अलीपुरद्वार	alipurdawar
अलीबाग	alibaag
अलीबाबा	alibaba
अलीशा	alisha
अलेक्जेंडर	alexander
अलेक्स	alex
अलोकप्रियता	alokapriyata
अलौकिक	alaukik
अल्कोहल	alcohol
अल्कोहलिक	alcoholic
अल्जाइमर	aljaaimar
अल्जीरिया	algeria
अल्टर	alter
अल्टीमेट	ultimate
अल्टीमेटम	altimatum
अल्टो	alto
अल्ट्रा	ultra
अल्ट्रावायलेट	ultraviolet
अल्ट्रासाउंड	ultrasound
अल्पकालिक	alpakalik
अल्पकालीन	alpakalin
अल्पना	alpana
अल्पसंख्यक	alpsankhyak
अल्पसंख्यकवाद	alpsankhyakvaad
अल्पसंख्यकों	alpasankhyakon
अल्पाइन	alpine
अल्पायु	alpayu
अल्पावधि	alpavadhi
अल्पाहार	alpahar
अल्फ़्रेड	alfred
अल्फा	alpha
अल्फ्रेड	alfrad
अल्बम	album
अल्बर्ट	albert
अल्बानिया	albania
अल्बूकर्क	albuquerque
अल्बेनिया	albania
अल्मोड़ा	almora
अल्युमीनियम	aluminium
अल्लामा	allama
अल्लाह	allah
अल्लु	allu
अल्सर	ulcer
अल्हड़	alhad
अवकाश	avakash
अवगत	avgat
अवचेतन	avchetan
अवज्ञा	avagya
अवतरण	avtaran
अवतरित	avtarit
अवतार	avataar
अवतारों	avtaron
अवदान	avadan
अवधारणा	avadharna
अवधारणाएं	avadharnaye
अवधारणाओं	avdharnaon
अवधि	avadhi
अवधूत	avadhut
अवधेश	avdhesh
अवन	avan
अवनत	avnat
अवनी	avni
अवमानना	avamanna
अवमूल्यन	avmulyan
अवयव	avyav
अवयवों	avyavon
अवयस्क	avyasak
अवर	avar
अवरक्त	avarakt
अवरुद्ध	avruddh
अवरूद्ध	avruddh
अवरोध	avarodh
अवरोधों	avrodhon
अवर्णनीय	avarnaneeya
अवलोकन	avalokan
अवशेष	avshesh
अवशेषों	avsheshon
अवशोषण	avshoshan
अवशोषित	avshoshit
अवश्य	avashy
अवश्यंभावी	avashyanbhaavee
अवसंरचना	avasanrchana
अवसर	avsar
अवसरवादिता	avasaravaadita
अवसरवादी	avasaravaadee
अवसरों	avsaron
अवसादों	avsadon
अवस्था	avastha
अवस्थाओं	avasthaon
अवस्थी	awasthi
अवहेलना	avahelana
अवांछनीय	avaanchhaneeya
अवांछित	avanchhit
अवाद	avaad
अवार्ड	award
अवार्ड्स	awards
अविकल	avikal
अविनाश	avinash
अविनाशी	avinashi
अविभाजित	avibhajit
अविभाज्य	avibhajya
अविराम	aviram
अविलंब	avilamb
अविवादित	avivadit
अविवाहित	avivahit
अविवेकपूर्ण	avivekpuran
अविश्वास	avishvas
अविष्कार	avishkar
अविष्कारक	avishkarak
अवे	ave
अवेंजर	avenger
अवेंजर्स	avengers
अवेयरनेस	awareness
अवेहलना	avehalana
अवैतनिक	avaintik
अवैद्यनाथ	avaidyanath
अवैध	avaidh
अवैधता	avaidhta
अवैधानिक	avaidhanik
अवॉर्ड	award
